Location,Period,Suicide_per_100000,Male,Female,PSEGDP,Old_Age,Survivors,Incapacity,Family,Labour,Unemployment,Housing,Health,Other,Total_GDP
Latvia,2002,31.5,53.6,12.8,13.838,7.188,0.37,1.443,1.345,0,0.439,0,2.865,0.098,2.11439E+12
Lithuania,2002,47,84.7,14,14.338,5.83,0.589,1.659,1.096,0,0.16,0,4.537,0.467,5.37701E+12
Luxembourg,2002,16.1,24,8.3,21.428,5.316,2.216,3.425,3.355,0.267,0.656,0,5.595,0.455,8.18449E+11
Mexico,2002,3.9,6.5,1.3,5.346,0.687,0.256,0.062,0.738,0.014,0,0,2.165,0.665,27596557244
Netherlands,2002,10,13.6,6.5,19.878,4.905,0.349,3.563,1.506,1.415,0,0,6.053,0.62,43407294086
New Zealand,2002,12.5,19,6.3,18.249,4.375,0.19,2.685,2.491,0.476,0,0,6.154,0.107,18774196283
Norway,2002,12.1,17.6,6.7,22.71,6.708,0.345,5.077,3.024,0.681,0,0,5.488,0.652,9.11152E+11
Poland,2002,17.3,29.8,5.6,21.854,9.48,2.282,3.37,1.176,0.223,0,0,4.282,0.16,7.58357E+11
Portugal,2002,12.5,20.2,5.2,20.294,7.446,1.396,2.247,1.307,0.61,0,0,6.215,0.303,3.79724E+11
Slovakia,2002,14.6,25.9,4,17.321,5.674,0.892,2.218,1.779,0.409,0,0,4.903,1.029,1.2264E+11
Slovenia,2002,29.1,47.5,11.6,22.32,10.438,0.424,2.492,1.999,0,0,0,5.885,0.459,3.37792E+11
Spain,2002,8.3,12.8,4.1,19.35,6.458,1.924,2.344,0.905,0,0,0,4.831,0.173,2.27245E+11
Sweden,2002,15.5,22.2,9,27.253,8.594,0.563,5.367,3.057,0,0,0,6.163,0.613,60014204964
Switzerland,2002,20.9,28,14.1,15.79,5.883,0.584,3.317,1.526,0,0,0,2.573,0.466,39359253571
Turkey,2002,3.2,4.8,1.6,8.801,3.685,0.963,0.218,0.234,0,0,0,3.569,0.109,4.13394E+11
United Kingdom of Great Britain and Northern Ireland,2002,8.3,12.6,4.1,17.955,5.142,0.219,2.202,2.533,0,0,0,6.102,0.205,5.25231E+11
United States of America,2002,11.8,18.8,5,15.529,5.106,0.795,0.966,0.847,0,0,0,6.373,0.499,1.29683E+13
Australia,2003,10.5,16.2,4.8,17.546,4.857,0.226,2.465,3.199,0.351,0.7,0.228,5.379,0.142,9.27045E+11
Austria,2003,18.2,27.5,9.4,26.584,10.523,2.139,2.571,3.012,0.601,1.185,0.117,6.104,0.33,3.49648E+11
Belgium,2003,21.5,31.8,11.6,25.65,7.035,2.08,2.188,2.661,0.763,3.234,0.056,6.79,0.842,4.2163E+11
Canada,2003,12.4,18.8,6.2,16.233,3.734,0.413,0.948,1.056,0.361,0.745,0.47,6.203,2.304,1.31425E+12
Chile,2003,9.7,16.7,3,10.036,3.35,1.01,0.831,0.997,0.272,0.05,0.446,2.805,0.275,4.94541E+11
Denmark,2003,13.6,19.6,7.7,25.328,8.204,0.01,4.388,3.671,1.705,0,0.678,5.676,0.995,1.60235E+11
Estonia,2003,26.3,45.9,9.3,12.888,5.422,0.099,1.749,1.422,0.075,0.176,0.076,3.67,0.2,3.14265E+12
Finland,2003,21.7,33.4,10.6,23.839,7.97,0.888,3.707,2.808,0.87,2.111,0.283,4.675,0.526,3.03256E+11
France,2003,20.1,29.2,11.6,28.788,10.34,1.713,1.809,2.973,1.039,1.817,0.822,7.943,0.334,1.26722E+12
Germany,2003,14.4,21.4,7.7,26.624,8.944,2.414,2.094,2.093,1.216,1.662,0.347,7.697,0.158,17114964310
Greece,2003,3.3,5.4,1.2,18.178,8.612,1.721,1.371,0.757,0.088,0.57,0,5.058,0,2.22631E+11
Hungary,2003,28,45.5,12.2,21.79,7.344,1.102,2.933,3.209,0.38,0.5,0.466,5.728,0.129,2.42665E+12
Iceland,2003,12.5,19.2,5.7,16.983,3.824,0.034,2.621,2.949,0.092,0.448,0.183,6.329,0.503,2.28639E+12
Ireland,2003,12.1,18.7,5.6,14.879,2.429,0.772,1.537,2.285,0.686,0.93,0.353,5.52,0.368,2.87947E+11
Israel,2003,6.4,10.5,2.5,16.85,4.838,0.696,2.614,2.218,0.205,0.451,0.255,4.432,1.142,1.21417E+11
Italy,2003,7.4,11.2,3.8,23.611,11.232,2.389,1.568,1.211,0.74,0.419,0.008,5.901,0.143,1.9278E+11
Japan,2003,25.6,37.8,13.8,16.642,7.609,1.21,0.719,0.641,0.235,0.394,0.055,5.612,0.167,11270759757
Korea,2003,24.1,33,15.1,4.945,1.049,0.222,0.428,0.151,0.111,0.123,0,2.478,0.381,1.76341E+11
Latvia,2003,29.1,50.3,11,12.908,6.412,0.316,1.353,1.336,0.116,0.445,0,2.74,0.116,2.11732E+12
Lithuania,2003,45.4,79.9,15.3,14.271,5.604,0.555,1.666,1.011,0.192,0.155,0,4.658,0.428,5.45918E+12
Luxembourg,2003,15.3,21.9,8.9,22.809,5.594,2.341,3.487,3.745,0.415,0.851,0,5.778,0.48,8.44208E+11
Mexico,2003,4,6.7,1.4,6.02,0.801,0.191,0.054,0.932,0.013,0,0,2.414,0.635,30512397613
Netherlands,2003,9.6,13,6.3,20.555,5.022,0.337,3.659,1.592,1.35,0,0,6.354,0.586,44114522872
New Zealand,2003,13.7,19.8,7.8,17.73,4.232,0.163,2.714,2.403,0.474,0,0,6.049,0.141,20357701182
Norway,2003,11.8,17.1,6.7,23.644,6.862,0.339,5.321,3.072,0.777,0,0,5.664,0.684,9.24331E+11
Poland,2003,17,29.9,5,21.993,9.645,2.307,3.256,1.125,0.399,0,0,4.123,0.17,7.59537E+11
Portugal,2003,11.9,18.9,5.3,21.339,7.906,1.444,2.295,1.41,0.63,0,0,6.324,0.306,3.8318E+11
Slovakia,2003,15,26.7,4.1,16.563,5.718,0.841,2.085,1.751,0.28,0,0,4.783,0.733,1.28221E+11
Slovenia,2003,29.7,47.3,12.8,21.935,9.823,0.383,2.421,1.958,0,0,0,5.898,0.597,3.49609E+11
Spain,2003,8.5,13,4.1,19.989,6.4,1.93,2.344,1.053,0,0,0,5.378,0.174,2.25131E+11
Sweden,2003,14.4,19.7,9.2,27.962,9.079,0.623,5.487,3.111,0,0,0,6.298,0.637,63314435397
Switzerland,2003,18.7,24.4,13.2,16.407,6.027,0.59,3.227,1.53,0,0,0,2.643,0.513,40524389923
Turkey,2003,3.1,4.7,1.6,9.76,4.387,1.171,0.216,0.226,0,0,0,3.602,0.121,4.22942E+11
